condition,item,test,layer,llh_left,llh_right,log_odds,test_passed
joins,4,test_1,5,-7.249907493591309,-7.291684627532959,0.04177713394165039,True
joins,4,test_1,6,-7.453758239746094,-7.584990501403809,0.13123226165771484,True
joins,4,test_1,7,-6.996773719787598,-7.087749481201172,0.09097576141357422,True
joins,4,test_1,8,-6.310643672943115,-6.615602016448975,0.3049583435058594,True
joins,4,test_1,9,-5.842538356781006,-6.094578742980957,0.25204038619995117,True
joins,4,test_1,10,-4.877996921539307,-4.849778175354004,-0.028218746185302734,False
joins,4,test_1,11,-4.209870338439941,-3.9379773139953613,-0.2718930244445801,False
joins,4,test_1,12,-5.675702095031738,-5.690659523010254,0.014957427978515625,True
joins,4,test_2,0,-48.09004211425781,-47.73971176147461,-0.3503303527832031,False
joins,4,test_2,1,-7.7953362464904785,-7.787938117980957,-0.007398128509521484,False
joins,4,test_2,2,-7.456961154937744,-7.468145847320557,0.0111846923828125,True
joins,4,test_2,3,-7.517157554626465,-7.482733726501465,-0.034423828125,False
joins,4,test_2,4,-7.436280250549316,-7.38970422744751,-0.04657602310180664,False
joins,4,test_2,5,-7.249907493591309,-7.220191955566406,-0.029715538024902344,False
joins,4,test_2,6,-7.453758239746094,-7.260795593261719,-0.192962646484375,False
joins,4,test_2,7,-6.996773719787598,-6.875323295593262,-0.12145042419433594,False
joins,4,test_2,8,-6.310643672943115,-6.0979533195495605,-0.2126903533935547,False
joins,4,test_2,9,-5.842538356781006,-5.538789749145508,-0.30374860763549805,False
joins,4,test_2,10,-4.877996921539307,-4.6066131591796875,-0.27138376235961914,False
joins,4,test_2,11,-4.209870338439941,-3.9617621898651123,-0.2481081485748291,False
joins,4,test_2,12,-5.675702095031738,-5.628232002258301,-0.0474700927734375,False
joins,4,test_3,0,-48.23128890991211,-47.73971176147461,-0.4915771484375,False
joins,4,test_3,1,-7.75338077545166,-7.787938117980957,0.034557342529296875,True
joins,4,test_3,2,-7.443029880523682,-7.468145847320557,0.025115966796875,True
joins,4,test_3,3,-7.550019264221191,-7.482733726501465,-0.06728553771972656,False
joins,4,test_3,4,-7.4829421043396,-7.38970422744751,-0.09323787689208984,False
joins,4,test_3,5,-7.291684627532959,-7.220191955566406,-0.07149267196655273,False
